old_url,new_url,slug,title,meta_title_status,meta_description,meta_description_status,lastmod,redirect_required,notes,migration_status
https://ajitashah.com/karma-the-law-of-cause-and-effect/,https://ajitashah.com/karma-the-law-of-cause-and-effect/,karma-the-law-of-cause-and-effect,Karma: The law of cause and effect,"OK (theme appends "" – Ajita Shah"")",Karma is the spiritual principle of cause and effect where intent and actions of an individual (cause) influence the future of that individual (effect).,PRESENT,2025-10-19T18:24:11+00:00,NO - slug preserved,,pending
https://ajitashah.com/how-to-identify-the-emotionally-unavailable-partner/,https://ajitashah.com/how-to-identify-the-emotionally-unavailable-partner/,how-to-identify-the-emotionally-unavailable-partner,Identifying the emotionally unavailable partner,"OK (theme appends "" – Ajita Shah"")","Here’s a list of some subtle red flags that may signal unavailability, especially when several add up.",PRESENT,2025-10-13T09:29:07+00:00,NO - slug preserved,,pending
https://ajitashah.com/how-to-identify-the-emotionally-unavailable-partner-2/,https://ajitashah.com/how-to-identify-the-emotionally-unavailable-partner-2/,how-to-identify-the-emotionally-unavailable-partner-2,What is distance healing?,"OK (theme appends "" – Ajita Shah"")",Remote healing practices are surfacing into modern civilization as this ancient art has become measurable by 21st century technological science.,PRESENT,2025-10-13T09:30:39+00:00,NO - slug preserved,"SLUG/CONTENT MISMATCH: slug says ""emotionally-unavailable-partner-2"" but article is ""What is distance healing?"" - NOT a duplicate. Slug change needs a 301 and loses any equity; TODO_CONTENT: confirm with Ajita.",pending
https://ajitashah.com/spiritual-development-and-evolution/,https://ajitashah.com/spiritual-development-and-evolution/,spiritual-development-and-evolution,Spiritual Development and Evolution,"OK (theme appends "" – Ajita Shah"")",Change and evolution is an integral part of the cycle of life and human evolution is no exception.,PRESENT,2025-10-13T09:30:25+00:00,NO - slug preserved,,pending
https://ajitashah.com/energy-imbalances-cause-disease-and-suffering/,https://ajitashah.com/energy-imbalances-cause-disease-and-suffering/,energy-imbalances-cause-disease-and-suffering,Energy Imbalances Cause Disease and Suffering,"OK (theme appends "" – Ajita Shah"")",Energy flows through everything and creates everything. Even our thoughts and emotions are energy.,PRESENT,2025-10-13T09:31:35+00:00,NO - slug preserved,,pending
https://ajitashah.com/what-is-the-chakra-energy-system/,https://ajitashah.com/what-is-the-chakra-energy-system/,what-is-the-chakra-energy-system,What is the Chakra energy system?,"OK (theme appends "" – Ajita Shah"")",Your 7 Chakras work together to create an optimal life for you–when they’re properly aligned and strengthened.,PRESENT,2025-10-11T17:35:56+00:00,NO - slug preserved,,pending
https://ajitashah.com/children-of-the-light/,https://ajitashah.com/children-of-the-light/,children-of-the-light,Children of the Light,"OK (theme appends "" – Ajita Shah"")",Children of light are wise old souls with a strong will and a fine sense of justice. They are socially committed and perceive different energies.,PRESENT,2025-10-11T17:39:22+00:00,NO - slug preserved,,pending
https://ajitashah.com/the-art-of-letting-go/,https://ajitashah.com/the-art-of-letting-go/,the-art-of-letting-go,The art of letting go,"OK (theme appends "" – Ajita Shah"")","We’ve all had to let go of things at some point or another, whether it’s a pet, a friend, boyfriend, or simply graduating high school.",PRESENT,2025-10-19T18:08:49+00:00,NO - slug preserved,,pending
https://ajitashah.com/surviving-infidelity/,https://ajitashah.com/surviving-infidelity/,surviving-infidelity,Surviving Infidelity,"OK (theme appends "" – Ajita Shah"")","It seems no relationship is safe from the potential of infidelity, whether a private relationship or a public one.",PRESENT,2025-10-13T09:28:15+00:00,NO - slug preserved,,pending
https://ajitashah.com/love-not-judge/,https://ajitashah.com/love-not-judge/,love-not-judge,LOVE not judge,"OK (theme appends "" – Ajita Shah"")",,MISSING - needs writing,2025-10-13T10:21:30+00:00,NO - slug preserved,,pending
